neuron_label,H,p_value,n_branches,p_bh
exc_23P,0.3558138589717714,0.8370203217753667,74,0.9131512477984881
exc_23P_2,2.7787608304289506,0.24922967571891805,66,0.5904141813107441
exc_4P,2.1318549737635237,0.3444082724312674,52,0.5904141813107441
exc_5PET,0.35573025771526545,0.8370553104819474,114,0.9131512477984881
exc_5PIT,3.0667239193554963,0.21580890549020837,65,0.5904141813107441
exc_6PCT,1.7243305475012818,0.42224681183181545,40,0.6333702177477232
inh_BC,3.451574477083284,0.17803284227586194,66,0.5904141813107441
inh_BC_2,11.867661656681719,0.0026483172826829806,72,0.03177980739219577
inh_BPC,2.1608643457382897,0.3394487933814079,34,0.5904141813107441
inh_BPC_2,0.006818181818189828,0.9341916414435726,32,0.9341916414435726
inh_MC,1.1546748251748227,0.5613911313349937,65,0.7485215084466583
inh_MC_2,3.4082260596546234,0.18193368438289828,49,0.5904141813107441
