partner_id,neuron_label,n_synapses,n_valid_regime,dominant_regime,regime_0_frac,regime_1_frac,regime_2_frac,spans_regimes,effect_ratio,mean_pairwise_distance,max_branch_fraction,p_distance,z_distance
864691134917404682,exc_23P,6,6,1,0.16666666666666666,0.6666666666666666,0.16666666666666666,True,0.7150656134593,24603.866960000578,0.6666666666666666,0.004,-2.9544683073948894
864691135113309337,exc_23P,5,5,1,0.2,0.4,0.4,True,0.8550446958662234,104091.26072027798,0.4,0.028,-2.247378837307733
864691135123628583,exc_23P,4,4,2,0.25,0.0,0.75,True,1.0063489731279143,162256.84510811706,0.25,0.538,0.29486018167266886
864691135195469354,exc_23P,3,3,2,0.0,0.0,1.0,False,0.11688342468876257,23235.77434024598,1.0,0.0,-7.087501244658874
864691135234074969,exc_23P,4,4,1,0.0,1.0,0.0,False,0.05987598942886584,4950.476379375312,1.0,0.0,-8.707732112873314
864691135273221393,exc_23P,3,3,2,0.0,0.0,1.0,False,1.0268954940154016,214393.37631944419,0.3333333333333333,0.679,0.5592378250380527
864691135274283237,exc_23P,3,3,2,0.0,0.0,1.0,False,0.975433829958351,155676.33814538966,0.3333333333333333,0.425,0.14074415990502995
864691135278202785,exc_23P,14,14,2,0.14285714285714285,0.35714285714285715,0.5,True,0.9386420718308823,64268.20369955616,0.14285714285714285,0.069,-1.5595742737473455
864691135292324022,exc_23P,6,6,2,0.0,0.0,1.0,False,0.2689968755051,48659.48640268314,0.8333333333333334,0.0,-12.253645476057196
864691135293207478,exc_23P,5,5,2,0.4,0.0,0.6,True,0.8422134639637637,66345.91062231324,0.4,0.053,-1.7950242564427648
864691135294109964,exc_23P,5,5,2,0.2,0.0,0.8,True,0.22996795494926464,41378.41019182878,0.8,0.0,-12.075236335873402
864691135339064294,exc_23P,6,6,1,0.0,0.5,0.5,True,0.782819328302527,111325.44216683671,0.5,0.012,-2.6476149915012437
864691135368257529,exc_23P,13,13,0,0.46153846153846156,0.3076923076923077,0.23076923076923078,True,0.7694296583488588,66536.37943632984,0.15384615384615385,0.0,-4.2668602625708205
864691135384180203,exc_23P,5,5,1,0.0,0.6,0.4,True,0.8966418071525607,174692.30918755502,0.4,0.17,-0.9529657765186259
864691135386781269,exc_23P,3,3,2,0.3333333333333333,0.0,0.6666666666666666,True,0.8149265848208883,146300.4199222359,0.3333333333333333,0.102,-1.1647982682362072
