threshold_low,threshold_high,source,n_regime_0,n_regime_1,n_regime_2,max_abs_coefficient,converged
0.027331345316717496,0.11666818489627413,primary_tertile,411,412,411,0.35167373034840355,True
0.1,0.5,biophysical,770,463,1,0.5308546197008955,True
0.01680871015288992,0.09032173249524973,quantile,247,493,494,0.5017706750751192,True
0.02009215741261225,0.10932388979770143,quantile,309,493,432,0.376392542409349,True
0.023752888028563818,0.1262275030605732,quantile,370,494,370,0.4587841203946308,True
0.026808639708602314,0.11716964926696344,quantile,407,420,407,0.4275932379692617,True
0.029735082850106783,0.14681372496745165,quantile,432,493,309,0.2999447908605097,True
0.03666957334424829,0.16847212815953638,quantile,494,493,247,0.43830865545651093,True
