neuron_label,branch_idx,regime,cell_type,subtype,n_synapses,n_unique_partners,mean_syns_per_partner,frac_syn_from_multi,pairwise_compactness_z,clark_evans_z,syn_density,total_length_nm,electrotonic_length
exc_23P,23,2,excitatory,23P,15,12,1.25,0.4,-0.6676315190096698,-1.6990901427102547,0.0001623506884088884,92392.5863635499,0.1771788247244765
exc_23P,24,1,excitatory,23P,12,9,1.3333333333333333,0.3333333333333333,-1.1971077370574783,1.514494738900192,0.00021244112508340677,56486.238223831024,0.104353938105963
exc_23P,27,2,excitatory,23P,10,9,1.1111111111111112,0.2,0.1182194996254525,-0.9345726008601914,0.00015238919783946387,65621.44916947863,0.1255705833627676
exc_23P,28,1,excitatory,23P,10,9,1.1111111111111112,0.2,-0.0462126535876339,-0.9360625833869304,0.00018643409410588774,53638.25778733565,0.106553654921822
exc_23P,30,1,excitatory,23P,3,3,1.0,0.0,-1.5019746792304185,,0.00014948668217821254,20068.677398455537,0.0311317981116678
exc_23P,31,1,excitatory,23P,3,3,1.0,0.0,0.0146165193636601,,0.00011793795693055311,25437.10335567817,0.0391434425892876
exc_23P,32,1,excitatory,23P,9,7,1.2857142857142858,0.4444444444444444,0.6370871537742441,-0.617791258802482,0.00014608380990984305,61608.46986092731,0.0997956641351766
exc_23P,33,1,excitatory,23P,4,3,1.3333333333333333,0.5,0.1453586134246965,,8.860568047752585e-05,45143.83252227908,0.0745241801746828
exc_23P,34,2,excitatory,23P,8,6,1.3333333333333333,0.375,-0.6263911810170586,0.7913893885354706,7.286510809902004e-05,109791.9183641147,0.2156627884800358
exc_23P,36,2,excitatory,23P,15,11,1.3636363636363635,0.4,-1.7689476960954302,-0.9874475789205776,0.0002354189360934931,63716.19993237492,0.1224104927772227
exc_23P,39,1,excitatory,23P,19,13,1.4615384615384615,0.5789473684210527,-0.0928749882977036,-0.2067537870630191,0.0004076288199102912,46611.0320761457,0.0943290655397981
exc_23P,48,2,excitatory,23P,3,2,1.5,0.6666666666666666,-1.7114168880109522,,2.131287003192594e-05,140760.0194392451,0.2825330256759056
exc_23P,51,0,excitatory,23P,8,6,1.3333333333333333,0.375,0.3629513076434382,0.6728186622960021,0.0005705923301218818,14020.51793842226,0.0244402764895034
exc_23P,53,0,excitatory,23P,4,4,1.0,0.0,0.6182674134070867,,0.0009303592489452722,4299.414451497862,0.0072370733265339
exc_23P,54,2,excitatory,23P,32,23,1.391304347826087,0.46875,2.08486927352417,1.690169971641811,0.0002466313285967785,129748.317791035,0.2355876466146213
exc_23P,55,1,excitatory,23P,14,11,1.2727272727272727,0.35714285714285715,-1.477744100534282,-0.6781336290362889,0.0002826852452297215,49525.04680116231,0.0826138994240164
exc_23P,56,2,excitatory,23P,24,21,1.1428571428571428,0.25,-0.3350973726498258,0.5579697792463761,0.0002041401267570763,117566.30301576936,0.2164723970914399
exc_23P,58,1,excitatory,23P,5,4,1.25,0.4,-0.8361669145206522,-1.895645707949235,0.0001851038954414526,27011.85724954921,0.0435807405990124
exc_23P,61,1,excitatory,23P,14,8,1.75,0.6428571428571429,-0.59978967564754,-1.904717203611391,0.0004432898640487636,31582.04401998225,0.0529812572034635
exc_23P,62,2,excitatory,23P,20,13,1.5384615384615385,0.5,1.4763917731151102,-0.2970928346165342,0.0001942414854524937,102964.61620136996,0.1941426252332968
exc_23P,63,2,excitatory,23P,12,10,1.2,0.3333333333333333,2.040618287334756,-0.8057957928649258,0.0001658389472398463,72359.35948534982,0.1359075912957534
exc_23P,64,2,excitatory,23P,7,7,1.0,0.0,0.1710424333131754,-2.086062234715082,0.00010929598882914911,64046.26624443063,0.1219754745038647
exc_23P,65,2,excitatory,23P,9,9,1.0,0.0,-0.611376832128785,0.425865242818616,0.00015046581148269597,59814.252229882986,0.1180272859315616
exc_23P,66,1,excitatory,23P,4,3,1.3333333333333333,0.5,0.8423225072866665,,7.460053625028464e-05,53618.9175179654,0.1018821870248647
exc_23P,68,0,excitatory,23P,3,3,1.0,0.0,-0.0474404282651116,,0.000507264944679824,5914.069228445391,0.010108904676367
exc_23P,69,2,excitatory,23P,22,17,1.2941176470588236,0.36363636363636365,0.1960239962080409,-0.3272618353366237,0.00029929350858698785,73506.43889292986,0.1405576546977932
exc_23P,70,0,excitatory,23P,5,4,1.25,0.4,0.7917744042975856,-0.4751787031468829,0.0006657029074583791,7510.857987821855,0.0120047876888183
exc_23P,71,2,excitatory,23P,14,12,1.1666666666666667,0.2857142857142857,-1.8814796060426304,0.1826144314631343,0.00019780345261469356,70777.32878237955,0.1301969254899746
exc_23P,72,2,excitatory,23P,18,15,1.2,0.2777777777777778,1.315742519276231,-0.4641569303269948,0.00019420651516371121,92684.8411075522,0.1740789918507826
exc_23P,73,2,excitatory,23P,13,7,1.8571428571428572,0.6923076923076923,2.234051808375247,-0.4036826133275139,0.00016632121845940536,78162.00554815536,0.1488554263038237
exc_23P,74,2,excitatory,23P,14,12,1.1666666666666667,0.2857142857142857,0.5961971807804561,-0.3191516537497761,0.00013038783182090354,107371.98252694272,0.1974541726277262
exc_23P,75,2,excitatory,23P,21,15,1.4,0.5238095238095238,0.760526242811664,-0.8333697009370645,0.00022550702913532646,93123.48302632256,0.1708130744226104
exc_23P,78,2,excitatory,23P,29,21,1.380952380952381,0.4482758620689655,-0.8649835760876152,-1.4308342798237357,0.0002962453037573033,97891.8471691893,0.1854568092635998
exc_23P,79,1,excitatory,23P,8,7,1.1428571428571428,0.25,0.0824177312966131,-0.4255463014540422,0.00033498739593857096,23881.49553384097,0.0415257679566348
exc_23P,80,1,excitatory,23P,7,4,1.75,0.7142857142857143,0.5218491955722419,1.82226022228532,0.0003362128323013421,20820.14523980457,0.0368640919553546
exc_23P,81,1,excitatory,23P,7,7,1.0,0.0,-0.7574322332878392,-1.6360761120949232,0.00014604154601741153,47931.56598852656,0.0914638851717644
exc_23P,84,2,excitatory,23P,12,9,1.3333333333333333,0.4166666666666667,-0.6615985539573767,0.0877633124870598,0.0001471833542391529,81530.95886442182,0.1568407211762688
exc_23P,85,1,excitatory,23P,5,5,1.0,0.0,-0.4979247083900045,-0.5047441189944525,0.0001603560156452545,31180.620071411508,0.0600716551215065
exc_23P,87,1,excitatory,23P,4,4,1.0,0.0,-0.0205534714386588,,8.176118090579607e-05,48922.97243857982,0.1104574361361574
exc_23P,88,2,excitatory,23P,22,19,1.1578947368421053,0.22727272727272727,0.0418062329641413,-0.1519928529537188,0.0001889761372898844,116416.8149243763,0.2200170472574879
exc_23P,89,2,excitatory,23P,23,14,1.6428571428571428,0.6521739130434783,2.420649448858437,0.8893288714046915,0.0003222757354519925,71367.45795566161,0.1334869242238837
exc_23P,93,1,excitatory,23P,9,4,2.25,0.7777777777777778,-0.1929728105248046,-0.0666227621764643,0.0004652938775845373,19342.614277929817,0.0328472852109459
exc_23P,94,0,excitatory,23P,6,3,2.0,0.8333333333333334,-0.8720641794997819,0.8148423287812833,0.0004935002930783794,12158.047490859462,0.0184212840770597
exc_23P,96,2,excitatory,23P,12,10,1.2,0.3333333333333333,-0.751358195440372,-0.1980777098645688,0.00012162156224425715,98666.7148371269,0.1785998928119802
exc_23P,103,0,excitatory,23P,7,5,1.4,0.42857142857142855,-2.3531251955520607,-0.804054980424508,0.0004668074259060214,14995.47696014856,0.0260798373498043
exc_23P,105,2,excitatory,23P,20,19,1.0526315789473684,0.1,1.5634911596346626,1.456753658525295,0.00017608146725958044,113583.78772773327,0.2095973654061132
exc_23P,106,2,excitatory,23P,19,17,1.1176470588235294,0.15789473684210525,-0.0217519602596587,-0.426939649287858,0.00019863572638506694,95652.480778646,0.176179879584047
exc_23P,107,1,excitatory,23P,11,8,1.375,0.45454545454545453,-2.5803104756850184,-0.9901342102558466,0.0003324931684459301,33083.38649907875,0.056463826536592
exc_23P,108,1,excitatory,23P,19,11,1.7272727272727273,0.7368421052631579,-2.717219979733105,-0.673204649504377,0.0004807454086034143,39521.9583171804,0.0670159182758254
exc_23P,109,2,excitatory,23P,29,23,1.2608695652173914,0.3448275862068966,1.82319811832988,0.4186802845349753,0.00026283889812671253,110333.7451445993,0.2056805133717771
exc_23P,110,1,excitatory,23P,19,11,1.7272727272727273,0.6842105263157895,-0.3457631014472114,-0.5462053641445168,0.00041924388173170227,45319.68342989241,0.0746397079463198
exc_23P,111,2,excitatory,23P,10,8,1.25,0.4,1.571419655464159,-2.1227516937603537,0.00010124611376125814,98769.22311882852,0.1844090996514285
exc_23P,112,2,excitatory,23P,16,12,1.3333333333333333,0.375,-0.0669670664518843,-1.9379673851756771,0.00023260550351520502,68785.99069326882,0.1304144668225927
exc_23P,113,2,excitatory,23P,12,12,1.0,0.0,0.5701915725493604,-0.815542268819375,0.00019476047074750078,61614.14559095785,0.1194890822757769
exc_23P,114,1,excitatory,23P,11,7,1.5714285714285714,0.5454545454545454,-0.4740575631330745,0.9865428315579784,0.00021646451756762546,50816.64248536022,0.1031732709513117
exc_23P,115,2,excitatory,23P,16,11,1.4545454545454546,0.5625,0.7835376675141248,0.2596608842556825,0.0002504529100756854,63884.2646913741,0.1241885548120895
exc_23P,116,2,excitatory,23P,9,8,1.125,0.2222222222222222,-0.9803209891037512,-0.6512729929174589,0.0001424814337170905,63166.124632562976,0.1261641424052109
exc_23P,117,0,excitatory,23P,5,4,1.25,0.4,-2.1084746255914935,-0.5646468472282946,0.00041562736355374316,12030.006776378836,0.0195840850219679
exc_23P,118,2,excitatory,23P,24,20,1.2,0.2916666666666667,-0.6232371619565851,0.2372809540629696,0.00018248003039737592,131521.2406954154,0.2402246906269438
exc_23P,119,2,excitatory,23P,21,15,1.4,0.42857142857142855,0.5155027214605871,-0.9343428416673216,0.00017452832409827442,120324.30901115626,0.2227804566887669
exc_23P,120,1,excitatory,23P,9,8,1.125,0.2222222222222222,0.8233735183030623,1.2299414620294336,0.0003444486461487658,26128.71352704618,0.0449848019767884
exc_23P,121,0,excitatory,23P,4,4,1.0,0.0,0.0390151412135718,,0.0005325124073585366,7511.562068274646,0.0128528542679594
exc_23P,122,1,excitatory,23P,7,5,1.4,0.42857142857142855,-0.0006391217546185,-0.8041461228312579,0.00010589091724301501,66105.76414155812,0.1142553872527637
exc_23P,123,2,excitatory,23P,12,11,1.0909090909090908,0.16666666666666666,-0.3756694684544632,-0.4253763466573371,0.0001052942389184087,113966.34918742956,0.2082685715552927
exc_23P,124,2,excitatory,23P,15,12,1.25,0.3333333333333333,-0.6086099362369254,0.7977464905271807,0.0001911629586681009,78467.08433741683,0.1439691413177963
exc_23P,125,2,excitatory,23P,9,9,1.0,0.0,0.8989157260505999,-0.5936045554610422,0.0001238189611230662,72686.76718305457,0.138270087727949
exc_23P,126,2,excitatory,23P,14,11,1.2727272727272727,0.42857142857142855,-0.7497771255761535,-1.6238000543661286,0.0001949393418503084,71817.21179068324,0.1398942216868244
exc_23P,127,2,excitatory,23P,7,5,1.4,0.42857142857142855,-0.0508708746188599,0.3285048769669823,0.00010548340302230884,66361.15065911895,0.1259037670651085
exc_23P,128,1,excitatory,23P,8,6,1.3333333333333333,0.375,-1.1059100726757296,0.0640268361939309,0.00014069267671729634,56861.523902022,0.1085359696954523
exc_23P,130,2,excitatory,23P,4,4,1.0,0.0,-1.6427880939991628,,4.356104484789304e-05,91825.16199892006,0.1743851942158237
exc_23P,131,2,excitatory,23P,3,3,1.0,0.0,-1.697728760310982,,4.281887006359531e-05,70062.56810477132,0.1358315984650712
exc_23P_2,0,0,excitatory,23P,18,6,3.0,0.8888888888888888,-1.6729138241142762,0.1637937856666053,0.0008521325824390791,21123.473472259655,0.0234302393160204
exc_23P_2,1,0,excitatory,23P,7,2,3.5,0.8571428571428571,-1.9670402803327391,-0.2333904437763514,0.0003544465479343362,19749.09909772009,0.0211778938510003
exc_23P_2,2,0,excitatory,23P,5,4,1.25,0.4,0.7158490037503104,-1.2033408461489592,0.0003147322070440532,15886.521582775758,0.0104533180372628
exc_23P_2,3,0,excitatory,23P,4,2,2.0,0.75,-2.6057480794248176,,0.0003317356348093289,12057.794159795563,0.0080576517492268
exc_23P_2,4,0,excitatory,23P,5,3,1.6666666666666667,0.8,-2.160987957317109,-0.7336246102303092,0.00023192439379845727,21558.749893057862,0.0244969977989931
exc_23P_2,5,2,excitatory,23P,43,30,1.4333333333333333,0.46511627906976744,-1.533583148631411,-1.0660056172014718,0.00029882604667960417,143896.42562217414,0.2576159267728696
exc_23P_2,6,1,excitatory,23P,16,10,1.6,0.625,-0.1694691868794628,-0.4533207460810727,0.0003969781993737748,40304.48025921746,0.056783772699008
exc_23P_2,7,0,excitatory,23P,17,7,2.4285714285714284,0.7647058823529411,-0.5573899248049834,-0.2776349516630337,0.0007789278502152114,21824.87119352972,0.0237728274222359
exc_23P_2,9,1,excitatory,23P,3,2,1.5,0.6666666666666666,-1.9055112723629295,,0.0001789501144280965,16764.448626298155,0.0286752031330078
exc_23P_2,10,0,excitatory,23P,5,4,1.25,0.4,0.1143193327814984,0.4618261839945164,0.0006624937314138263,7547.241223444503,0.0101216388048118
exc_23P_2,11,1,excitatory,23P,3,3,1.0,0.0,1.6851421884937083,,0.00017850601465241536,16806.15639669936,0.0309439868417194
