neuron_label,root_id,cell_type,subtype,branch_idx,branch_order,mean_diameter_nm,total_length_nm,electrotonic_length,soma_distance_nm,synapse_count,exc_count,inh_count,exc_fraction,regime,regime_name,order_regime,kmeans_regime,is_bpc
exc_23P,864691135848859998,excitatory,23P,32,7,1143.3488372093022,61608.46986092731,0.0997956641351766,131174.3435502257,9,1,8,0.1111111111111111,1,nonlinear-prone,2,0,False
exc_23P,864691135848859998,excitatory,23P,33,8,1100.8387096774193,45143.83252227908,0.0745241801746828,148379.12823657974,4,0,4,0.0,1,nonlinear-prone,2,0,False
exc_23P,864691135848859998,excitatory,23P,34,8,777.52,109791.9183641147,0.2156627884800358,180703.17115749756,8,2,6,0.25,2,compartmentalized,2,2,False
exc_23P,864691135848859998,excitatory,23P,35,4,961.1428571428572,19624.616614820527,0.0346711172849825,66065.67912250932,1,1,0,1.0,1,nonlinear-prone,1,0,False
exc_23P,864691135848859998,excitatory,23P,36,4,812.8,63716.19993237492,0.1224104927772227,88111.47078128651,15,6,9,0.4,2,compartmentalized,1,2,False
exc_23P,864691135848859998,excitatory,23P,37,9,741.7142857142857,18747.746163031472,0.0377043423573554,203602.60386024436,0,0,0,,1,nonlinear-prone,2,0,False
exc_23P,864691135848859998,excitatory,23P,38,9,695.5,8359.26206271777,0.0173612104178852,198408.3618100875,0,0,0,,0,summation-like,2,0,False
exc_23P,864691135848859998,excitatory,23P,39,5,732.5,46611.0320761457,0.0943290655397981,99183.50346799244,19,5,14,0.2631578947368421,1,nonlinear-prone,1,0,False
exc_23P,864691135848859998,excitatory,23P,40,5,594.0,9188.216291865469,0.020648980534194,80472.09557585232,0,0,0,,0,summation-like,1,0,False
exc_23P,864691135848859998,excitatory,23P,41,5,590.25,9187.990304008848,0.0207139611657062,80471.982581924,1,0,1,0.0,0,summation-like,1,0,False
exc_23P,864691135848859998,excitatory,23P,42,5,547.0,8731.296576065812,0.0204477583640939,80243.63571795248,0,0,0,,0,summation-like,1,0,False
