threshold_low,threshold_high,source,n_regime_0,n_regime_1,n_regime_2,max_abs_coefficient,converged
0.027331345316717496,0.11666818489627413,primary_tertile,411,412,411,0.8202270828943792,True
0.1,0.5,biophysical,770,463,1,0.3141935156127369,True
0.01680871015288992,0.09032173249524973,quantile,247,493,494,0.8338013017152356,True
0.02009215741261225,0.10932388979770143,quantile,309,493,432,0.8143176572176145,True
0.023752888028563818,0.1262275030605732,quantile,370,494,370,0.8497916954006457,True
0.026808639708602314,0.11716964926696344,quantile,407,420,407,0.8478884199695839,True
0.029735082850106783,0.14681372496745165,quantile,432,493,309,1.083532789335948,True
0.03666957334424829,0.16847212815953638,quantile,494,493,247,1.273866495191151,True
